path,basename,validation,font_name,font_family,font_full_name,font_postscript_name
/System/Library/Fonts/Supplemental/Devanagari Sangam MN.ttc,Devanagari Sangam MN.ttc,Valid,Devanagari Sangam MN,Devanagari Sangam MN,Devanagari Sangam MN,DevanagariSangamMN
/System/Library/Fonts/Supplemental/Didot.ttc,Didot.ttc,Valid,Didot,Didot,Didot,Didot
/System/Library/Fonts/Supplemental/Diwan Kufi.ttc,Diwan Kufi.ttc,Valid,Diwan Kufi Regular,Diwan Kufi,Diwan Kufi Regular,DiwanKufi
/System/Library/Fonts/Supplemental/Diwan Thuluth.ttf,Diwan Thuluth.ttf,Valid,Diwan Thuluth Regular,Diwan Thuluth,Diwan Thuluth Regular,DiwanThuluth
/Users/xiangyucheng/Library/Fonts/electroharmonix.ttf,electroharmonix.ttf,Valid,Electroharmonix-Regular,Electroharmonix,Electroharmonix-Regular,Electroharmonix-Regular
/System/Library/Fonts/Supplemental/EuphemiaCAS.ttc,EuphemiaCAS.ttc,Valid,Euphemia UCAS,Euphemia UCAS,Euphemia UCAS,EuphemiaUCAS
/Users/xiangyucheng/Library/Fonts/fot-くろかね.otf,fot-くろかね.otf,Valid,FOT-Kurokane Std EB,FOT-Kurokane Std EB,FOT-Kurokane Std EB,KurokaneStd-EB
/Users/xiangyucheng/Library/Fonts/FZCCHK.TTF,FZCCHK.TTF,Valid,FZChaoCuHei-M10,FZChaoCuHei-M10,FZChaoCuHei-M10,FZCCHK--GBK1-0
/Users/xiangyucheng/Library/Fonts/FZCCHJW.TTF,FZCCHJW.TTF,Valid,FZChaoCuHei-M10S,FZChaoCuHei-M10S,FZChaoCuHei-M10S,FZCCHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZCSJW.TTF,FZCSJW.TTF,Valid,FZCuSong-B09S,FZCuSong-B09S,FZCuSong-B09S,FZCSJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWHuanLTJW.TTF,FZFWHuanLTJW.TTF,Valid,FZFW HuanLe TiS,FZFW HuanLe TiS,FZFW HuanLe TiS,FZFW-HuanLeTi--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWQingYinTiJWE.TTF,FZFWQingYinTiJWE.TTF,Valid,FZFW Qing Yin TiS E,FZFW Qing Yin TiS E,FZFW Qing Yin TiS E,FZFW-QingYinTiS-E--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWZhuZiABiaoTMCJW.TTF,FZFWZhuZiABiaoTMCJW.TTF,Valid,FZFW ZhuZi A BiaoTiMinChoS,FZFW ZhuZi A BiaoTiMinChoS,FZFW ZhuZi A BiaoTiMinChoS,FZFW-ZZABTMC--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFWMaDSTJW-B.TTF,FZFWMaDSTJW-B.TTF,Valid,FZFWMaDiSiTiS Bold,FZFWMaDiSiTiS,FZFWMaDiSiTiS Bold,FZFWMADSTS-B--GB1-0
/Users/xiangyucheng/Library/Fonts/FZFenSTXJW.TTF,FZFenSTXJW.TTF,Valid,FZFenSTXS-R-GB,FZFenSTXS-R-GB,FZFenSTXS-R-GB,FZFENSTXJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZGDCTJW-B.TTF,FZGDCTJW-B.TTF,Valid,FZGDCTiS Bold,FZGDCTiS,FZGDCTiS Bold,FZGDCTS-B--GB1-0
/Users/xiangyucheng/Library/Fonts/FZJianLTJW_Da.TTF,FZJianLTJW_Da.TTF,Valid,FZJianLiTiS ExtraBold,FZJianLiTiS ExtraBold,FZJianLiTiS ExtraBold,FZJIANLTS_DA--GB1-0
/Users/xiangyucheng/Library/Fonts/FZJingHJW.TTF,FZJingHJW.TTF,Valid,FZJingHeiS-R-GB,FZJingHeiS-R-GB,FZJingHeiS-R-GB,FZJINGHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZKTJW.TTF,FZKTJW.TTF,Valid,FZKai-Z03S,FZKai-Z03S,FZKai-Z03S,FZKTJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZLTDHJW.TTF,FZLTDHJW.TTF,Valid,FZLanTingHeiS-EB-GB,FZLanTingHeiS-EB-GB,FZLanTingHeiS-EB-GB,FZLTDHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZMoDTJW_Da.TTF,FZMoDTJW_Da.TTF,Valid,FZMoDengTiS ExtraBold,FZMoDengTiS ExtraBold,FZMoDengTiS ExtraBold,FZMODTS_DA--GB1-0
/Users/xiangyucheng/Library/Fonts/FZPANGPBJW.TTF,FZPANGPBJW.TTF,Valid,FZPangPangBaiS-R-GB,FZPangPangBaiS-R-GB,FZPangPangBaiS-R-GB,FZPANGPBJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZPSCHJW.TTF,FZPSCHJW.TTF,Valid,FZPinShangHeiS-B-GB,FZPinShangHeiS-B-GB,FZPinShangHeiS-B-GB,FZPSCHJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZShouXHJW-B.TTF,FZShouXHJW-B.TTF,Valid,FZShouXieHeiS Bold,FZShouXieHeiS,FZShouXieHeiS Bold,FZSHOUXHS-B--GB1-0
/Users/xiangyucheng/Library/Fonts/FZYaZTJ_Da.TTF,FZYaZTJ_Da.TTF,Valid,FZYaZhuTiS ExtraBold,FZYaZhuTiS ExtraBold,FZYaZhuTiS ExtraBold,FZYAZT_DAJW--GB1-0
/Users/xiangyucheng/Library/Fonts/FZZJ-XSS.TTF,FZZJ-XSS.TTF,Valid,FZZJ-XSS,FZZJ-XSS,FZZJ-XSS,FZZJ-XSS
/System/Library/Fonts/Supplemental/Farah.ttc,Farah.ttc,Valid,Farah Regular,Farah,Farah Regular,Farah
/System/Library/Fonts/Supplemental/Farisi.ttf,Farisi.ttf,Valid,Farisi Regular,Farisi,Farisi Regular,Farisi
/System/Library/Fonts/Supplemental/Futura.ttc,Futura.ttc,Valid,Futura Medium,Futura,Futura Medium,Futura-Medium
/System/Library/Fonts/Supplemental/NISC18030.ttf,NISC18030.ttf,Valid,GB18030 Bitmap,GB18030 Bitmap,GB18030 Bitmap,GB18030Bitmap
/System/Library/Fonts/Supplemental/Galvji.ttc,Galvji.ttc,Valid,Galvji,Galvji,Galvji,Galvji
/System/Library/Fonts/GeezaPro.ttc,GeezaPro.ttc,Valid,Geeza Pro Regular,Geeza Pro,Geeza Pro Regular,GeezaPro
/Users/xiangyucheng/Library/Fonts/GenShinGothic-Heavy-2.ttf,GenShinGothic-Heavy-2.ttf,Valid,Gen Shin Gothic Heavy,Gen Shin Gothic Heavy,Gen Shin Gothic Heavy,GenShinGothic-Heavy
/System/Library/Fonts/Geneva.ttf,Geneva.ttf,Valid,Geneva,Geneva,Geneva,Geneva
/System/Library/Fonts/Supplemental/Georgia.ttf,Georgia.ttf,Valid,Georgia,Georgia,Georgia,Georgia
/System/Library/Fonts/Supplemental/Georgia Bold.ttf,Georgia Bold.ttf,Valid,Georgia Bold,Georgia,Georgia Bold,Georgia-Bold
/System/Library/Fonts/Supplemental/Georgia Bold Italic.ttf,Georgia Bold Italic.ttf,Valid,Georgia Bold Italic,Georgia,Georgia Bold Italic,Georgia-BoldItalic
/System/Library/Fonts/Supplemental/Georgia Italic.ttf,Georgia Italic.ttf,Valid,Georgia Italic,Georgia,Georgia Italic,Georgia-Italic
/System/Library/Fonts/Supplemental/GillSans.ttc,GillSans.ttc,Valid,Gill Sans,Gill Sans,Gill Sans,GillSans
/System/Library/Fonts/Supplemental/GujaratiMT.ttc,GujaratiMT.ttc,Valid,Gujarati MT,Gujarati MT,Gujarati MT,GujaratiMT
/System/Library/Fonts/Supplemental/Gujarati Sangam MN.ttc,Gujarati Sangam MN.ttc,Valid,Gujarati Sangam MN,Gujarati Sangam MN,Gujarati Sangam MN,GujaratiSangamMN
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/2cbbb46d93096244bde9fa13aa10939987dd0964.asset/AssetData/Gungseouche.ttf,Gungseouche.ttf,Valid,GungSeo Regular,GungSeo,GungSeo Regular,JCkg
/System/Library/Fonts/Supplemental/Gurmukhi MN.ttc,Gurmukhi MN.ttc,Valid,Gurmukhi MN,Gurmukhi MN,Gurmukhi MN,GurmukhiMN
/System/Library/Fonts/Supplemental/Gurmukhi.ttf,Gurmukhi.ttf,Valid,Gurmukhi MT,Gurmukhi MT,Gurmukhi MT,MonotypeGurmukhi
/System/Library/Fonts/Supplemental/Gurmukhi Sangam MN.ttc,Gurmukhi Sangam MN.ttc,Valid,Gurmukhi Sangam MN,Gurmukhi Sangam MN,Gurmukhi Sangam MN,GurmukhiSangamMN
