path,basename,font_family,font_full_name,font_postscript_name
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/c6dd5dda81ed310c2248630a4e62f4fd71316d91.asset/AssetData/ToppanBunkyuMidashiGothicStdN-ExtraBold.otf,ToppanBunkyuMidashiGothicStdN-ExtraBold.otf,Toppan Bunkyu Midashi Gothic Extrabold,Toppan Bunkyu Midashi Gothic Extrabold,ToppanBunkyuMidashiGothicStdN-ExtraBold
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/36a81f2dad2ef266c50802d85839e0201fcf4e57.asset/AssetData/ToppanBunkyuMidashiMinchoStdN-ExtraBold.otf,ToppanBunkyuMidashiMinchoStdN-ExtraBold.otf,Toppan Bunkyu Midashi Mincho Extrabold,Toppan Bunkyu Midashi Mincho Extrabold,ToppanBunkyuMidashiMinchoStdN-ExtraBold
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/a35803b18dea500ee1e426f403635efbe5a84bd4.asset/AssetData/ToppanBunkyuMinchoPr6N-Regular.otf,ToppanBunkyuMinchoPr6N-Regular.otf,Toppan Bunkyu Mincho Regular,Toppan Bunkyu Mincho Regular,ToppanBunkyuMinchoPr6N-Regular
/System/Library/Fonts/Supplemental/Trattatello.ttf,Trattatello.ttf,Trattatello,Trattatello,Trattatello
/System/Library/Fonts/Supplemental/Trebuchet MS.ttf,Trebuchet MS.ttf,Trebuchet MS,Trebuchet MS,TrebuchetMS
/System/Library/Fonts/Supplemental/Trebuchet MS Bold Italic.ttf,Trebuchet MS Bold Italic.ttf,Trebuchet MS,Trebuchet MS Bold Italic,Trebuchet-BoldItalic
/System/Library/Fonts/Supplemental/Trebuchet MS Italic.ttf,Trebuchet MS Italic.ttf,Trebuchet MS,Trebuchet MS Italic,TrebuchetMS-Italic
/System/Library/Fonts/Supplemental/Trebuchet MS Bold.ttf,Trebuchet MS Bold.ttf,Trebuchet MS,Trebuchet MS Bold,TrebuchetMS-Bold
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/a9507b2dd1e57ecf7dc3a2fe25e8abfef12973ad.asset/AssetData/TsukushiAMaruGothic.ttc,TsukushiAMaruGothic.ttc,Tsukushi A Round Gothic Regular,Tsukushi A Round Gothic Regular,TsukuARdGothic-Regular
/System/Library/AssetsV2/com_apple_MobileAsset_Font8/60484a5d6f3fa8d51dcbeff43b7e70c9d42bcd2f.asset/AssetData/TsukushiBMaruGothic.ttc,TsukushiBMaruGothic.ttc,Tsukushi B Round Gothic Regular,Tsukushi B Round Gothic Regula,TsukuBRdGothic-Regular
